,timestamp,year_month,user_favourites_count,user_followers_count,user_id,user_listed_count
0,2017-08-01 16:23:56 +0000,2017-08,114031,3200889,4196983835,2784
2,2017-07-31 00:18:03 +0000,2017-07,114031,3200889,4196983835,2784
20,2017-07-19 16:06:48 +0000,2017-07,114031,3200890,4196983835,2784
57,2017-06-30 23:47:07 +0000,2017-06,114031,3200890,4196983835,2784
64,2017-06-27 00:10:17 +0000,2017-06,114031,3200890,4196983835,2785
65,2017-06-26 19:07:24 +0000,2017-06,114031,3200891,4196983835,2785
67,2017-06-26 00:13:58 +0000,2017-06,114031,3200892,4196983835,2785
88,2017-06-14 16:04:48 +0000,2017-06,114031,3200891,4196983835,2786
116,2017-05-31 23:43:25 +0000,2017-05,114031,3200891,4196983835,2786
172,2017-04-30 00:02:42 +0000,2017-04,114031,3200891,4196983835,2786
198,2017-04-17 23:52:16 +0000,2017-04,114031,3200892,4196983835,2786
220,2017-04-06 00:13:11 +0000,2017-04,114032,3200799,4196983835,2827
232,2017-03-31 16:07:33 +0000,2017-03,114031,3200891,4196983835,2786
300,2017-02-28 20:41:37 +0000,2017-02,114031,3200891,4196983835,2786
317,2017-02-23 01:22:14 +0000,2017-02,114031,3200890,4196983835,2786
328,2017-02-20 00:53:27 +0000,2017-02,114031,3200892,4196983835,2786
332,2017-02-18 01:03:09 +0000,2017-02,114032,3200800,4196983835,2827
378,2017-02-03 23:04:02 +0000,2017-02,114031,3200892,4196983835,2787
388,2017-01-31 17:06:32 +0000,2017-01,114031,3200892,4196983835,2787
392,2017-01-30 01:21:19 +0000,2017-01,114031,3200893,4196983835,2787
394,2017-01-29 02:44:34 +0000,2017-01,114031,3200894,4196983835,2787
433,2017-01-15 04:56:16 +0000,2017-01,114032,3200802,4196983835,2828
464,2017-01-06 01:31:47 +0000,2017-01,114031,3200895,4196983835,2787
473,2017-01-03 01:20:49 +0000,2017-01,114031,3200895,4196983835,2788
482,2016-12-31 00:08:17 +0000,2016-12,114031,3200895,4196983835,2788
515,2016-12-19 23:06:23 +0000,2016-12,114031,3200896,4196983835,2788
534,2016-12-09 03:08:45 +0000,2016-12,114031,3200897,4196983835,2788
552,2016-11-30 18:16:08 +0000,2016-11,114031,3200897,4196983835,2788
563,2016-11-26 01:31:31 +0000,2016-11,114031,3200898,4196983835,2788
598,2016-11-16 00:22:12 +0000,2016-11,114031,3200899,4196983835,2788
603,2016-11-15 17:54:59 +0000,2016-11,114031,3200900,4196983835,2788
638,2016-11-01 01:00:05 +0000,2016-11,114031,3200901,4196983835,2788
640,2016-10-31 23:00:11 +0000,2016-10,114031,3200901,4196983835,2788
654,2016-10-27 23:30:09 +0000,2016-10,114032,3200809,4196983835,2829
707,2016-10-09 23:44:41 +0000,2016-10,114031,3200901,4196983835,2789
728,2016-09-30 20:33:43 +0000,2016-09,114031,3200901,4196983835,2789
757,2016-09-21 01:39:11 +0000,2016-09,114031,3200902,4196983835,2789
762,2016-09-20 00:24:34 +0000,2016-09,114032,3200810,4196983835,2830
781,2016-09-12 16:05:54 +0000,2016-09,114031,3200903,4196983835,2789
786,2016-09-10 16:03:16 +0000,2016-09,114031,3200904,4196983835,2789
802,2016-09-03 19:23:13 +0000,2016-09,114031,3200905,4196983835,2789
812,2016-08-31 21:47:27 +0000,2016-08,114031,3200905,4196983835,2789
823,2016-08-28 00:37:54 +0000,2016-08,114031,3200906,4196983835,2789
849,2016-08-16 22:00:23 +0000,2016-08,114031,3200907,4196983835,2789
862,2016-08-08 01:44:46 +0000,2016-08,114031,3200908,4196983835,2789
866,2016-08-06 02:27:27 +0000,2016-08,114032,3200816,4196983835,2830
886,2016-07-31 20:21:02 +0000,2016-07,114031,3200908,4196983835,2789
898,2016-07-28 19:06:01 +0000,2016-07,114031,3200942,4196983835,2802
902,2016-07-27 17:35:10 +0000,2016-07,114031,3200943,4196983835,2802
990,2016-07-01 01:40:41 +0000,2016-07,114032,3200851,4196983835,2843
991,2016-06-30 17:54:50 +0000,2016-06,114031,3200943,4196983835,2802
1065,2016-06-08 22:48:46 +0000,2016-06,114032,3200851,4196983835,2843
1086,2016-06-01 02:00:04 +0000,2016-06,114031,3200943,4196983835,2803
1088,2016-05-31 16:14:39 +0000,2016-05,114031,3200943,4196983835,2803
1097,2016-05-27 00:32:10 +0000,2016-05,114031,3200944,4196983835,2803
1136,2016-05-05 01:35:26 +0000,2016-05,114031,3200945,4196983835,2803
1148,2016-04-30 01:41:23 +0000,2016-04,114031,3200945,4196983835,2803
1178,2016-04-11 01:41:07 +0000,2016-04,114031,3200944,4196983835,2803
1208,2016-03-31 23:22:53 +0000,2016-03,114031,3200945,4196983835,2803
1209,2016-03-31 02:09:32 +0000,2016-03,114031,3200946,4196983835,2803
1211,2016-03-30 16:52:36 +0000,2016-03,114031,3200947,4196983835,2803
1338,2016-03-02 02:43:09 +0000,2016-03,114031,3200948,4196983835,2803
1345,2016-02-29 17:56:32 +0000,2016-02,114031,3200948,4196983835,2803
1348,2016-02-29 01:17:46 +0000,2016-02,114031,3200949,4196983835,2803
1360,2016-02-26 02:20:37 +0000,2016-02,114031,3200950,4196983835,2803
1361,2016-02-25 19:04:13 +0000,2016-02,114032,3200858,4196983835,2844
1470,2016-01-31 23:42:03 +0000,2016-01,114031,3200950,4196983835,2803
1487,2016-01-29 03:03:25 +0000,2016-01,114031,3200950,4196983835,2804
1501,2016-01-26 16:12:33 +0000,2016-01,114032,3200858,4196983835,2845
1510,2016-01-24 18:09:23 +0000,2016-01,114031,3200951,4196983835,2804
1524,2016-01-22 03:24:22 +0000,2016-01,114032,3200859,4196983835,2846
1525,2016-01-22 02:28:52 +0000,2016-01,114031,3200951,4196983835,2805
1530,2016-01-21 02:56:40 +0000,2016-01,114031,3200950,4196983835,2805
1532,2016-01-21 02:10:37 +0000,2016-01,114032,3200858,4196983835,2846
1630,2016-01-05 19:42:51 +0000,2016-01,114031,3200952,4196983835,2805
1634,2016-01-05 02:30:55 +0000,2016-01,114032,3200860,4196983835,2846
1664,2015-12-31 22:57:47 +0000,2015-12,114031,3200952,4196983835,2805
1693,2015-12-27 23:53:05 +0000,2015-12,114032,3200860,4196983835,2846
1710,2015-12-25 21:06:00 +0000,2015-12,114031,3200953,4196983835,2805
1760,2015-12-20 18:29:43 +0000,2015-12,114031,3200954,4196983835,2805
1765,2015-12-20 02:09:34 +0000,2015-12,114032,3200862,4196983835,2846
1798,2015-12-16 04:01:59 +0000,2015-12,114031,3201000,4196983835,2812
1801,2015-12-16 02:13:31 +0000,2015-12,114031,3201001,4196983835,2812
1813,2015-12-15 04:05:01 +0000,2015-12,114031,3201002,4196983835,2812
1840,2015-12-13 02:51:51 +0000,2015-12,114032,3200910,4196983835,2724
1863,2015-12-11 16:40:19 +0000,2015-12,114031,3201003,4196983835,2812
1885,2015-12-10 03:11:43 +0000,2015-12,114031,3201004,4196983835,2812
1971,2015-12-05 18:51:11 +0000,2015-12,114031,3201005,4196983835,2812
1977,2015-12-05 03:28:25 +0000,2015-12,114032,3200913,4196983835,2724
1996,2015-12-03 22:09:14 +0000,2015-12,114031,3201006,4196983835,2812
2039,2015-12-01 04:14:59 +0000,2015-12,114031,3201007,4196983835,2812
2052,2015-11-30 18:07:47 +0000,2015-11,114031,3201007,4196983835,2812
2055,2015-11-30 15:51:24 +0000,2015-11,114031,3201008,4196983835,2812
2096,2015-11-28 22:15:21 +0000,2015-11,114031,3201009,4196983835,2812
2117,2015-11-28 01:42:22 +0000,2015-11,114031,3201010,4196983835,2812
2134,2015-11-27 01:42:24 +0000,2015-11,114032,3200918,4196983835,2724
2135,2015-11-27 01:10:17 +0000,2015-11,114031,3201011,4196983835,2812
2160,2015-11-25 05:52:43 +0000,2015-11,114031,3201012,4196983835,2812
2183,2015-11-24 02:54:30 +0000,2015-11,114031,3201013,4196983835,2812
2184,2015-11-24 02:38:07 +0000,2015-11,114031,3201014,4196983835,2812
2219,2015-11-22 17:23:57 +0000,2015-11,114031,3201015,4196983835,2812
2245,2015-11-21 01:15:07 +0000,2015-11,114031,3201016,4196983835,2812
2279,2015-11-19 15:49:57 +0000,2015-11,114031,3201017,4196983835,2812
2293,2015-11-18 23:18:48 +0000,2015-11,114031,3201018,4196983835,2812
